id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
1,B1,7,5,0,0,0,0,0,21,36,25,30,38,41,38,37,45,53,48,33,39,30,21,12,12,53
2,B100,6,4,0,0,0,19,19,22,37,31,18,16,21,21,27,24,28,37,26,23,20,9,7,7,37
3,B103,33,29,14,0,1,41,38,49,56,45,49,51,49,48,48,51,54,55,52,47,42,44,46,27,56
4,B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
5,B12,16,17,24,10,19,29,44,52,49,51,51,48,51,47,51,49,57,52,48,52,41,36,32,25,57
6,B13,13,10,3,0,10,20,33,27,43,28,33,40,49,50,54,46,43,40,34,42,37,23,27,15,54
7,B14,17,12,7,8,10,13,17,30,30,28,40,38,48,39,35,41,36,41,31,24,22,28,26,15,48
8,B15,63,52,54,54,23,32,43,40,45,48,42,49,46,50,55,60,69,50,46,48,46,45,32,42,69
9,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,B17,39,10,7,9,23,31,32,33,35,36,27,28,37,38,45,46,44,52,50,58,69,34,43,40,69
11,B2,7,1,0,0,4,24,15,19,17,22,17,17,32,21,23,28,25,32,27,19,14,13,19,9,32
12,B20,34,38,36,0,3,23,24,28,46,43,34,34,33,37,37,38,50,54,29,49,44,41,37,33,54
13,B24,13,9,0,0,0,20,26,24,25,19,19,15,20,25,19,26,38,34,29,21,16,16,19,16,38
14,B25,36,32,40,12,31,12,22,30,27,27,31,41,37,40,36,40,45,43,41,26,24,19,19,27,45
15,B26,23,13,16,12,28,29,28,27,42,33,29,31,38,38,32,44,44,46,45,67,26,19,22,26,67
16,B3,48,10,5,5,15,24,42,55,39,46,65,55,57,53,50,47,59,63,52,68,58,58,51,53,68
17,B31,8,6,0,0,12,24,24,22,24,26,14,14,16,16,26,23,26,28,24,20,15,9,9,7,28
18,B32,0,0,0,0,0,0,0,10,11,8,7,7,9,11,10,14,17,11,13,7,7,8,0,0,17
19,B35,32,24,23,14,26,46,68,65,65,64,57,61,70,87,76,92,76,82,69,70,62,44,35,31,92
20,B36,18,9,15,7,23,20,30,42,39,35,39,39,39,42,54,55,41,46,49,41,32,35,25,21,55
21,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,B38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,B39,0,0,0,0,0,0,0,6,6,9,8,16,16,9,12,11,12,11,8,4,7,2,0,0,16
24,B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,B41,40,41,20,14,42,40,34,36,36,37,37,38,52,52,49,49,54,48,55,39,40,31,34,39,55
26,B42,18,12,6,13,25,41,41,32,29,30,38,28,27,42,42,35,38,43,43,39,37,19,26,19,43
27,B43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,B44,30,29,11,12,28,30,36,36,53,34,31,38,38,44,47,47,45,55,46,31,44,37,33,30,55
29,B44-SBS,7,0,0,0,0,17,43,65,68,48,50,57,53,69,63,74,74,74,66,60,57,47,31,22,74
30,B45,10,7,0,0,0,11,16,18,32,32,24,27,31,43,42,37,45,38,37,28,24,21,14,10,45
31,B46,38,25,23,26,38,41,37,37,42,41,39,45,40,42,47,45,52,40,48,45,41,36,38,41,52
32,B46-SBS,27,0,0,0,0,47,74,67,64,58,56,56,63,70,79,78,94,83,86,57,62,59,48,35,94
33,B47,12,14,14,7,18,26,34,41,36,46,49,44,49,57,60,54,66,75,46,45,33,31,37,21,75
34,B48,10,6,5,4,6,12,16,24,17,14,13,15,15,20,18,22,34,23,20,13,11,9,9,10,34
35,B49,13,9,7,0,9,21,19,26,47,40,24,24,35,34,36,28,34,36,27,25,21,14,11,13,47
36,B52,40,27,12,11,15,24,36,39,58,84,73,45,53,60,94,104,104,108,98,70,67,67,36,42,108
37,B54,15,7,7,8,11,15,28,42,55,47,31,32,39,37,56,54,48,60,42,30,33,29,20,20,60
38,B57,12,9,0,0,12,30,30,35,37,34,28,26,29,35,38,37,54,49,54,35,37,37,40,39,54
39,B6,46,31,15,19,48,65,56,56,50,69,68,44,48,50,55,48,50,63,61,48,53,44,38,36,69
40,B60,11,16,28,18,17,21,24,35,32,38,40,35,37,34,54,46,44,48,36,34,25,24,19,21,54
41,B61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,B62,18,14,17,17,18,19,36,30,23,23,19,22,29,28,29,32,43,34,34,23,24,55,22,22,55
43,B63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,B64,8,4,2,0,3,15,19,26,34,39,23,22,20,27,32,29,29,38,45,23,26,14,15,12,45
45,B65,8,5,0,0,15,15,19,22,24,18,19,19,27,28,34,25,39,34,34,23,34,32,27,9,39
46,B67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,B68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,B7,12,17,13,0,9,13,23,21,37,26,24,33,34,36,34,38,44,53,29,21,17,18,13,10,53
50,B70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,B74,0,0,0,0,0,22,25,27,24,34,21,30,34,26,33,37,41,39,38,36,26,17,12,8,41
52,B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,B82,38,36,17,17,18,32,37,48,53,44,33,43,36,47,46,45,49,58,55,57,40,34,27,32,58
54,B82-SBS,4,0,0,0,12,26,42,60,68,64,32,32,33,38,42,45,52,58,42,43,33,23,22,16,68
55,B83,20,6,0,0,4,21,26,33,40,28,43,44,51,52,48,53,62,49,43,32,33,32,30,29,62
56,B84,0,0,0,0,0,8,12,9,10,6,7,9,5,11,8,19,14,14,14,8,7,8,0,0,19
57,B9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,30,12,0,0,0,0,0,0,30
58,B99,0,33,32,30,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
59,BM1,2,0,0,0,0,0,12,13,14,7,3,1,3,1,0,17,17,14,15,14,5,4,2,3,17
60,BM2,10,10,0,0,0,0,0,0,0,0,0,0,10,9,6,14,13,15,13,11,6,7,6,0,15
61,BM3,4,0,0,0,0,19,23,11,12,8,8,0,0,1,2,0,3,16,11,6,2,0,0,1,23
62,BM4,0,0,0,0,0,0,19,13,9,5,2,5,5,4,4,19,12,6,9,11,0,0,0,0,19
63,BM5,4,0,0,0,0,17,21,16,7,15,4,6,6,5,2,8,2,18,16,18,1,0,4,5,21
64,Bx1,19,21,27,27,33,25,24,34,32,55,49,44,42,36,85,64,90,86,58,59,34,30,30,26,90
65,Bx10,19,14,2,3,8,25,36,45,41,37,36,47,37,47,45,40,44,46,62,38,30,28,27,23,62
66,Bx11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
67,Bx12,0,0,0,0,0,1,49,46,31,14,24,14,17,24,69,23,23,5,0,0,0,0,0,0,69
68,Bx12-SBS,3,0,0,0,0,37,66,77,78,63,66,70,91,91,91,83,92,105,109,104,91,77,84,83,109
69,Bx13,40,13,0,0,2,36,42,41,40,49,51,53,51,56,60,61,67,70,54,63,52,43,32,31,70
70,Bx15,31,24,20,27,26,20,42,38,34,36,40,60,41,47,88,49,49,68,83,45,49,38,28,32,88
71,Bx16,14,10,0,0,0,32,28,31,28,27,24,25,33,44,49,47,47,55,39,51,46,37,20,18,55
72,Bx17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Bx18,0,0,0,0,0,2,14,25,28,21,27,24,23,32,30,41,26,35,33,26,20,10,11,0,41
74,Bx19,31,29,46,51,56,44,53,81,99,107,66,64,76,80,81,93,80,87,90,71,63,61,76,66,107
75,Bx2,14,0,0,0,0,8,11,23,46,36,34,65,63,86,68,62,51,56,63,46,30,25,22,14,86
76,Bx20,0,0,0,0,0,0,4,14,19,10,0,0,0,0,0,21,23,21,22,19,10,0,0,0,23
77,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Bx22,13,4,0,0,0,31,28,23,30,33,58,58,43,45,58,105,101,59,61,82,87,89,52,57,105
79,Bx23,0,0,0,0,0,13,15,16,16,6,6,12,14,12,17,16,15,26,20,11,9,8,6,6,26
80,Bx24,6,2,1,1,2,7,6,10,13,7,10,10,13,9,10,16,13,14,7,6,6,10,7,5,16
81,Bx26,6,0,0,0,0,16,27,37,35,27,30,24,31,37,42,41,46,40,46,39,26,23,28,14,46
82,Bx27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Bx28,23,16,12,9,18,32,44,31,35,39,36,37,37,43,42,47,53,76,95,90,32,26,25,34,95
84,Bx29,16,8,2,0,10,18,19,14,17,24,27,23,25,32,31,33,36,38,27,17,17,19,36,24,38
85,Bx3,30,15,0,0,0,25,43,39,49,42,47,48,49,49,60,62,59,68,65,51,53,33,44,35,68
86,Bx30,15,1,0,0,0,20,29,38,35,36,34,40,42,47,47,46,51,51,44,33,25,25,26,23,51
87,Bx31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Bx32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Bx33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Bx34,11,6,0,0,0,28,21,23,27,23,26,23,29,29,37,34,29,29,24,24,15,9,15,15,37
91,Bx35,23,19,11,10,28,41,45,63,58,56,56,53,61,71,73,80,79,93,93,97,42,32,31,34,97
92,Bx36,56,45,37,12,18,36,48,58,78,77,110,88,94,106,82,70,79,80,70,76,62,55,48,57,110
93,Bx38,12,0,0,0,0,20,35,33,42,43,31,34,36,37,41,41,48,52,39,40,35,27,22,35,52
94,Bx39,20,12,13,15,23,34,32,43,42,41,50,43,61,71,85,86,99,68,62,54,43,38,28,24,99
95,Bx4,30,25,14,14,18,25,32,25,48,35,35,28,31,36,35,38,60,57,49,50,67,29,36,36,67
96,Bx40,8,5,5,6,16,32,24,69,52,47,48,39,43,28,49,50,57,42,38,36,30,26,32,28,69
97,Bx41,10,14,17,14,17,8,19,18,0,0,0,0,11,0,0,28,0,15,22,22,19,18,0,5,28
98,Bx41-SBS,0,0,0,0,0,16,50,71,78,50,50,46,57,59,82,68,76,77,66,50,51,33,18,0,82
99,Bx42,15,12,0,0,8,17,25,31,42,53,39,31,36,33,41,32,59,44,44,37,29,18,23,10,59
100,Bx46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Bx4A,0,0,0,0,0,15,25,26,35,55,35,30,30,67,65,45,57,58,45,36,33,34,13,22,67
102,Bx5,0,0,0,0,0,38,22,37,36,24,28,35,39,36,41,80,58,64,63,35,32,24,31,0,80
103,Bx6,44,24,44,49,70,69,49,41,59,47,51,47,49,71,66,76,84,86,81,69,46,86,64,61,86
104,Bx6-SBS,0,0,0,0,0,57,63,64,61,64,43,47,51,65,71,80,96,98,85,66,47,45,25,0,98
105,Bx7,14,8,0,0,2,24,41,51,41,57,42,43,47,57,58,60,45,47,56,40,25,23,21,16,60
106,Bx8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Bx9,14,9,1,0,9,20,42,40,40,26,49,57,66,71,63,61,71,63,70,51,49,47,55,23,71
108,Bx99,1,49,51,54,47,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
109,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,BxM10,0,0,0,0,0,0,18,11,0,7,6,0,6,4,6,6,5,13,0,0,0,0,0,0,18
111,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,BxM3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,10,10
117,BxM7,0,0,0,0,0,21,8,0,0,0,0,0,0,0,8,6,6,0,0,0,0,0,0,0,21
118,BxM8,0,0,0,0,0,0,0,13,12,0,0,8,7,0,0,0,0,0,0,4,0,0,0,0,13
119,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,3,2,0,0,0,0,15
120,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,M100,41,16,0,0,9,13,20,31,34,36,35,39,74,72,94,82,87,79,80,81,77,45,36,33,94
123,M101,22,15,6,0,7,17,29,26,36,25,37,43,40,55,47,61,58,55,40,34,39,23,27,19,61
124,M102,15,11,13,11,11,11,14,21,23,23,36,33,36,34,39,44,37,34,36,24,22,19,18,15,44
125,M103,9,0,0,0,0,7,16,20,16,16,21,23,25,30,31,27,23,29,26,16,10,10,11,12,31
126,M104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,M106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,M11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,20
129,M116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,M12,0,0,0,0,0,0,1,7,7,7,8,9,10,9,7,9,12,10,8,7,6,7,4,0,12
131,M14A-SBS,39,9,10,9,8,23,23,26,40,41,34,44,48,51,56,51,51,48,45,30,30,20,43,42,56
132,M14D-SBS,27,20,9,12,22,34,45,53,47,55,55,55,59,60,62,74,66,79,88,69,60,64,36,27,88
133,M15,21,22,22,27,26,41,37,22,26,15,24,24,22,25,31,27,43,31,21,20,16,16,15,23,43
134,M15-SBS,35,0,0,0,22,25,79,57,61,63,57,60,59,66,68,71,69,83,54,63,53,43,41,50,83
135,M2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,M20,6,1,0,0,0,0,0,5,8,6,13,14,11,17,15,14,14,21,15,11,10,4,4,4,21
137,M21,0,0,0,0,0,0,0,5,6,9,6,6,8,11,11,8,8,12,7,4,4,3,0,0,12
138,M22,0,0,0,0,0,5,5,9,11,15,8,16,12,10,15,19,17,15,14,4,2,3,1,3,19
139,M23-SBS,13,5,3,2,4,11,39,38,54,45,31,31,43,42,41,66,62,41,41,30,20,24,15,22,66
140,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,M31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,M34-SBS,23,2,0,0,0,29,49,59,56,41,24,34,38,46,47,63,43,60,35,39,33,33,32,36,63
143,M34A-SBS,16,5,0,0,1,29,70,59,46,34,32,36,31,36,50,69,66,67,51,34,30,28,24,37,70
144,M35,42,0,0,0,0,32,34,34,59,68,31,48,48,40,38,47,62,62,64,57,75,61,49,44,75
145,M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,M42,13,15,7,7,12,19,40,29,22,19,15,21,14,25,29,28,33,30,24,20,15,19,24,17,40
147,M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,M50,5,2,0,0,1,4,11,16,12,10,16,12,12,16,11,24,15,15,12,9,8,11,8,10,24
149,M55,6,4,0,0,0,0,0,5,7,11,7,9,17,15,15,19,11,14,9,10,8,6,8,6,19
150,M57,7,5,0,0,0,0,11,18,17,16,18,18,18,17,33,29,36,27,27,17,14,14,11,9,36
151,M60-SBS,13,11,10,0,0,1,63,48,35,25,33,42,43,35,51,46,39,40,29,30,27,31,23,26,63
152,M66,13,2,0,0,2,26,37,39,30,26,23,20,24,22,38,43,43,27,27,19,20,11,13,20,43
153,M7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,M72,7,0,0,0,0,9,16,20,28,25,23,24,24,21,26,28,38,33,28,28,19,16,17,15,38
155,M79-SBS,16,4,3,3,4,9,34,51,34,29,22,25,28,33,35,41,39,46,37,24,24,21,19,16,51
156,M8,1,2,0,0,0,2,5,4,9,5,7,6,7,7,11,9,9,13,6,5,4,4,2,2,13
157,M86-SBS,10,4,3,2,4,14,28,39,46,40,38,40,40,41,59,55,53,51,43,33,25,28,20,21,59
158,M9,0,0,0,0,0,0,1,13,18,24,25,28,29,21,22,26,20,33,22,15,12,9,7,3,33
159,M96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,M98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,M99,0,33,33,27,28,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
162,Q1,12,12,3,7,10,10,15,21,22,18,24,17,18,19,19,21,25,26,25,23,27,15,12,14,27
163,Q10,18,15,14,11,39,41,65,59,55,49,46,54,50,43,58,53,54,62,56,49,37,47,35,28,65
164,Q100,8,7,4,4,4,9,24,28,23,16,16,13,20,23,29,34,30,27,12,19,15,16,15,16,34
165,Q101,5,3,1,7,1,13,27,27,27,11,21,20,29,18,26,42,36,26,36,20,15,14,10,13,42
