id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
166,Q102,20,22,3,5,7,14,9,16,17,20,20,13,16,16,16,22,19,21,19,15,20,17,19,22,22
167,Q103,0,0,0,0,0,10,21,24,16,7,1,9,9,10,18,25,20,21,15,13,10,9,0,0,25
168,Q104,0,0,0,0,0,0,14,17,13,13,17,20,25,31,24,43,37,33,17,13,11,7,9,4,43
169,Q11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Q110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Q111,35,9,6,7,9,23,33,52,57,38,38,23,20,41,43,66,56,43,39,43,21,6,31,26,66
172,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Q113,0,0,0,0,0,0,9,9,0,11,3,0,28,29,24,30,34,35,33,38,13,13,0,0,38
174,Q114,0,20,11,9,11,37,8,0,39,25,28,28,24,37,41,40,34,52,47,42,39,16,20,0,52
175,Q12,12,0,0,0,7,20,20,25,29,21,19,11,21,32,29,44,33,33,33,30,22,27,27,36,44
176,Q13,13,10,8,5,5,20,20,28,33,33,32,31,36,37,28,34,40,47,35,37,25,30,39,27,47
177,Q15,3,2,0,0,0,31,23,29,26,21,19,22,22,32,23,27,30,27,25,25,24,16,10,6,32
178,Q15A,5,0,0,0,0,23,34,33,27,28,21,23,23,24,21,27,25,29,27,39,25,17,11,7,39
179,Q16,5,6,0,0,10,16,17,25,26,24,19,17,21,17,19,25,20,23,21,16,11,19,10,10,26
180,Q17,18,13,6,14,14,30,33,30,34,36,34,32,32,31,42,38,39,44,47,38,40,30,25,28,47
181,Q18,11,12,3,0,9,38,47,50,39,31,35,33,31,30,37,36,52,61,39,31,35,20,21,16,61
182,Q19,0,0,0,0,0,11,25,55,34,25,23,24,22,25,26,45,45,34,29,20,15,12,0,0,55
183,Q2,15,13,8,9,12,34,31,27,30,27,22,25,27,33,38,35,31,39,40,31,20,27,20,16,40
184,Q20A,14,9,5,6,9,14,26,23,30,26,26,38,31,31,30,36,36,31,32,29,30,28,17,16,38
185,Q20B,2,0,0,0,0,10,20,21,27,25,41,30,27,29,32,31,28,39,38,26,16,16,12,7,41
186,Q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Q22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Q23,57,49,48,0,19,42,42,55,40,35,34,28,35,47,40,43,50,48,58,47,56,30,40,57,58
189,Q24,109,17,25,47,34,30,34,35,44,27,29,31,27,31,38,37,60,65,72,80,87,93,102,109,109
190,Q25,15,16,8,48,59,70,88,83,94,96,88,30,37,35,46,46,45,48,47,31,34,33,26,38,96
191,Q26,0,0,0,0,0,13,14,16,11,13,0,0,0,0,0,11,10,12,12,6,4,0,0,0,16
192,Q27,22,13,8,7,18,31,37,33,29,38,40,29,28,31,33,35,36,41,53,76,75,75,85,102,102
193,Q28,9,5,4,4,14,30,32,29,30,30,36,30,29,32,36,35,39,40,35,31,29,21,28,16,40
194,Q29,2,1,0,0,4,20,24,22,22,21,21,27,35,42,48,39,39,37,38,34,30,13,14,15,48
195,Q3,27,29,23,21,40,33,31,53,32,27,28,26,29,36,33,35,37,42,36,76,101,107,104,29,107
196,Q30,9,4,0,0,0,14,21,25,23,18,18,23,14,22,23,26,27,37,33,13,16,21,19,14,37
197,Q31,4,0,0,0,0,12,15,21,24,22,17,17,15,19,24,22,26,36,29,18,22,18,15,8,36
198,Q32,18,58,56,40,43,24,25,41,35,24,32,27,29,34,37,36,36,40,36,55,53,25,22,21,58
199,Q33,21,25,8,5,24,51,45,37,39,25,37,25,36,28,38,43,38,51,43,41,32,20,32,26,51
200,Q34,0,0,0,0,0,17,19,34,30,31,24,19,29,31,33,33,19,18,20,20,25,18,16,8,34
201,Q35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Q36,17,7,7,4,12,29,21,30,29,25,21,24,29,31,28,24,32,35,33,22,22,13,15,19,35
203,Q37,0,0,0,0,0,0,0,0,0,0,14,31,17,18,20,38,23,37,35,27,0,0,0,0,38
204,Q38,8,0,0,0,0,21,33,33,18,23,21,21,41,50,29,31,43,38,32,33,29,25,11,13,50
205,Q39,13,8,16,11,11,24,31,25,32,22,20,17,15,20,24,23,23,26,22,21,25,19,16,15,32
206,Q4,35,20,11,10,28,31,32,34,27,30,32,31,36,38,34,39,44,61,78,30,32,42,30,23,78
207,Q40,11,6,7,0,0,0,0,0,22,11,0,0,0,0,0,0,7,34,22,0,0,0,10,3,34
208,Q41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Q42,0,0,0,0,0,23,21,16,16,16,14,13,14,15,15,15,19,24,13,14,7,0,0,0,24
210,Q43,19,13,13,13,38,31,35,40,35,31,31,29,27,35,43,42,38,39,42,34,39,31,23,21,43
211,Q44-SBS,0,0,0,8,12,11,0,0,16,21,33,30,19,22,20,36,24,0,0,0,0,0,0,0,36
212,Q46,107,11,6,8,8,20,31,29,38,32,29,26,27,29,36,38,41,44,55,30,29,86,102,110,110
213,Q47,26,4,0,0,0,34,33,31,29,35,29,32,24,36,39,32,30,35,31,42,27,27,23,29,42
214,Q48,13,9,3,0,8,26,20,23,29,29,17,32,23,20,34,23,39,30,23,23,24,9,15,11,39
215,Q49,11,6,2,0,15,34,46,43,37,42,42,32,30,31,31,40,49,38,38,30,40,27,29,30,49
216,Q5,33,33,9,11,26,33,33,34,38,40,41,35,43,42,43,43,45,45,44,39,31,40,38,38,45
217,Q50,6,12,2,0,4,25,28,35,29,26,20,12,17,29,31,30,37,38,35,33,20,16,15,4,38
218,Q52-SBS,18,9,0,0,0,28,59,88,84,42,52,44,42,73,63,56,72,69,68,60,49,36,55,29,88
219,Q53-SBS,37,51,24,21,44,59,63,91,73,67,75,71,87,80,94,80,86,90,79,88,66,55,58,49,94
220,Q54,31,31,33,15,22,36,43,43,43,32,34,32,31,38,39,43,53,45,45,34,35,28,32,34,53
221,Q55,16,7,7,7,17,35,36,46,45,32,31,34,37,37,44,46,44,55,80,89,90,107,109,21,109
222,Q56,80,84,16,21,27,34,37,37,36,31,39,34,33,33,38,45,41,40,31,37,28,14,66,76,84
223,Q58,28,21,20,18,26,55,54,57,50,45,55,66,43,48,48,70,67,57,58,56,53,43,41,33,70
224,Q59,10,13,14,15,16,31,43,49,39,29,36,34,35,38,42,38,48,51,35,33,28,29,23,20,51
225,Q6,33,0,0,0,0,2,39,14,21,0,0,0,16,22,21,44,47,46,39,37,31,27,26,31,47
226,Q60,23,31,28,26,48,45,18,13,15,17,16,23,25,39,29,42,28,14,27,17,23,15,13,12,48
227,Q64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Q65,23,14,10,10,16,64,44,54,57,44,38,104,107,107,54,55,59,52,46,42,42,40,36,33,107
229,Q66,18,23,13,13,23,35,41,51,38,42,52,35,44,47,54,48,51,46,59,53,39,34,24,24,59
230,Q67,0,0,0,4,14,21,43,35,19,24,18,11,15,20,22,32,42,46,49,15,12,18,17,11,49
231,Q69,12,8,0,0,0,16,28,43,35,19,20,26,24,20,31,30,36,40,28,23,18,18,22,16,43
232,Q7,0,0,0,0,0,0,17,23,14,16,0,0,15,24,24,24,6,0,0,0,5,13,21,21,24
233,Q70-SBS,10,6,10,18,11,19,34,16,18,25,28,26,33,28,35,35,29,29,20,29,28,21,18,13,35
234,Q72,10,8,0,0,17,27,40,47,27,36,51,53,39,52,47,58,64,64,66,39,42,31,19,15,66
235,Q76,0,0,0,0,0,15,25,36,26,31,19,18,19,19,28,25,33,28,18,20,18,18,15,6,36
236,Q77,0,0,0,0,0,12,21,20,31,19,23,24,25,29,29,26,63,40,33,27,24,24,19,0,63
237,Q8,0,0,0,0,0,15,25,28,37,20,28,20,19,12,10,0,0,0,18,15,28,26,0,0,37
238,Q83,24,21,8,8,26,38,52,46,40,32,32,35,36,36,45,41,57,50,41,33,35,30,31,26,57
239,Q84,13,11,0,0,25,30,33,29,26,25,30,29,22,36,43,64,28,43,27,26,21,19,14,11,64
240,Q85,24,21,10,9,35,36,40,35,36,37,28,38,34,38,44,53,42,52,41,42,34,29,39,30,53
241,Q88,6,0,0,0,0,5,22,43,36,37,34,44,31,40,42,37,40,40,32,36,36,20,19,10,44
242,Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,20,14,6,29,7,0,38
243,QM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,QM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,QM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,QM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,QM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,QM16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,QM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,QM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,QM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,QM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,QM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,QM24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,QM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,QM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,QM31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,QM32,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
259,QM34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,QM35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,QM36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,QM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,QM40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,QM42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,QM44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,QM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,QM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,QM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,QM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,S40,35,41,32,28,45,53,61,49,33,25,47,45,43,31,41,36,56,58,70,56,56,47,30,32,70
271,S42,18,21,0,0,0,16,10,10,5,5,1,0,0,12,13,15,24,26,25,19,17,18,17,16,26
272,S44,17,2,0,0,20,33,26,33,28,25,27,32,30,34,37,43,57,56,38,35,32,32,28,32,57
273,S46,22,32,21,10,32,38,37,27,26,22,24,29,30,34,34,42,42,36,44,37,44,27,26,29,44
274,S48,24,17,12,8,27,35,30,35,34,34,40,70,72,89,48,44,53,47,33,32,33,26,33,25,89
275,S51,18,13,8,6,15,30,27,24,28,18,20,19,21,26,28,34,34,34,23,39,17,15,17,19,39
276,S52,15,4,2,0,16,16,14,20,14,17,20,19,25,24,21,28,30,34,24,27,25,27,18,17,34
277,S53,38,23,19,12,27,51,41,43,40,41,42,52,35,37,46,52,51,50,56,52,53,39,35,32,56
278,S54,0,0,0,0,0,1,13,11,17,11,12,9,11,14,16,17,15,17,11,8,8,6,5,0,17
279,S55,0,0,0,0,0,0,5,6,8,8,7,6,7,6,8,8,8,6,4,3,0,0,0,0,8
280,S56,0,0,0,0,0,0,7,7,9,11,7,7,7,7,17,12,11,11,14,4,0,0,0,0,17
281,S57,3,0,0,0,0,0,21,17,25,19,11,13,13,17,21,27,23,21,16,12,12,8,8,7,27
282,S59,12,6,0,0,6,18,25,33,34,28,27,31,19,31,33,40,37,35,31,32,33,19,17,13,40
283,S61,8,0,0,0,4,21,26,25,25,29,46,26,22,25,29,30,25,24,28,27,24,19,19,10,46
284,S62,12,28,13,12,22,23,35,28,21,17,19,14,17,26,22,32,33,27,22,31,18,17,22,13,35
285,S66,7,3,0,0,0,4,10,12,10,8,14,6,12,8,12,15,14,17,16,12,11,8,9,13,17
286,S74,33,33,29,7,24,39,39,37,32,25,28,29,24,36,32,40,37,42,39,39,27,33,30,18,42
287,S76,10,0,0,0,4,22,21,22,26,26,34,23,24,31,40,42,39,37,45,36,36,24,20,20,45
288,S78,23,20,17,11,16,27,31,37,32,28,34,28,28,34,35,33,41,27,33,28,25,24,30,19,41
289,S79-SBS,18,5,0,0,27,33,41,51,47,44,74,68,46,45,58,44,51,51,69,48,41,35,42,45,74
290,S81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,25,1,0,11,0,0,25
291,S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,19,13,4,10,17,5,0,19
292,S86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,16,0,0,0,0,0,27
293,S89,0,0,0,0,0,4,12,15,12,15,5,0,0,0,0,6,9,13,12,8,5,0,0,0,15
294,S90,0,0,0,0,14,40,59,35,25,0,0,0,0,0,0,28,42,53,38,26,18,29,23,23,59
295,S91,0,0,0,0,0,0,19,21,18,10,0,0,0,0,0,0,23,23,18,19,6,0,0,0,23
296,S92,0,0,0,0,0,2,16,15,15,8,0,0,0,0,0,0,20,20,17,13,0,0,0,0,20
297,S93,0,0,0,0,0,5,23,23,24,29,19,16,25,25,20,30,34,30,29,15,18,16,14,0,34
298,S94,0,0,0,0,0,0,16,18,13,0,0,0,0,0,0,10,30,56,20,9,7,13,9,0,56
299,S96,0,0,0,0,0,12,18,22,15,0,0,0,0,0,0,17,26,36,26,18,22,14,12,21,36
300,S98,0,0,0,0,0,0,13,34,25,0,0,0,0,0,0,1,29,32,27,18,16,19,10,0,34
301,SIM1,0,0,0,0,0,26,31,28,22,22,0,0,0,0,6,46,37,32,26,22,6,0,0,0,46
302,SIM10,0,0,0,0,19,29,30,19,28,16,0,0,0,0,31,28,34,34,25,19,3,0,0,0,34
303,SIM11,0,0,0,0,8,27,26,24,26,14,11,0,0,0,0,19,23,16,17,10,1,0,0,0,27
304,SIM15,0,0,0,0,1,21,22,24,15,15,6,0,0,0,0,16,17,22,11,7,4,0,0,0,24
305,SIM1C,39,22,12,11,25,30,37,30,32,32,23,35,35,42,42,41,25,29,38,30,29,27,27,34,42
306,SIM2,0,0,0,0,11,22,30,21,13,10,0,0,0,0,26,28,21,21,19,9,5,2,0,0,30
307,SIM22,0,0,0,0,0,25,27,21,17,17,9,0,0,0,0,29,25,22,15,11,6,0,0,0,29
308,SIM25,0,0,0,0,17,25,23,25,19,11,1,0,0,0,0,24,19,19,17,15,10,2,0,0,25
309,SIM26,0,0,0,0,28,30,30,20,18,18,0,0,0,0,28,28,25,22,19,9,6,5,0,0,30
310,SIM3,0,0,0,0,0,27,29,17,17,11,9,0,0,2,4,27,22,19,18,12,0,0,0,0,29
311,SIM30,0,0,0,0,0,30,28,27,16,13,0,0,0,0,0,3,26,24,14,9,3,0,0,0,30
312,SIM31,0,0,0,0,0,17,28,26,16,13,0,0,0,0,0,17,26,15,17,23,8,0,0,0,28
313,SIM32,0,0,0,0,0,0,11,16,15,11,0,0,0,0,0,7,17,15,12,6,0,0,0,0,17
314,SIM33,0,0,0,0,0,21,25,25,13,8,0,0,0,0,10,14,11,15,13,10,2,0,0,0,25
315,SIM33C,25,10,10,0,0,15,29,35,26,26,24,18,29,25,38,31,42,39,34,20,21,19,19,25,42
316,SIM34,0,0,0,0,10,26,31,25,22,13,1,0,0,0,3,26,32,29,18,19,0,0,0,0,32
317,SIM35,0,0,0,0,0,15,15,12,15,8,0,0,0,0,0,9,15,17,13,5,0,0,0,0,17
318,SIM3C,27,11,3,0,0,15,23,28,14,15,15,11,16,28,34,26,19,18,19,26,23,25,25,27,34
319,SIM4,0,0,0,0,0,18,23,22,21,18,12,0,0,0,0,4,24,22,19,16,5,0,0,0,24
320,SIM4C,20,12,1,0,20,30,32,20,21,23,18,20,26,36,30,30,25,20,23,25,21,17,14,24,36
321,SIM4X,0,0,0,0,0,0,13,8,5,0,0,0,0,0,0,0,14,11,9,1,0,0,0,0,14
322,SIM5,0,0,0,0,1,12,16,13,17,13,1,0,0,0,0,19,17,15,11,7,0,0,0,0,19
323,SIM6,0,0,0,0,9,25,28,26,23,16,7,0,0,0,22,23,28,26,14,17,13,3,0,0,28
324,SIM7,0,0,0,0,0,19,19,17,17,5,0,0,0,0,22,22,20,11,15,13,5,0,0,0,22
325,SIM8,0,0,0,0,25,31,31,24,23,17,10,0,0,18,35,32,27,26,23,17,14,8,4,0,35
326,SIM8X,0,0,0,0,0,0,13,11,11,3,0,0,0,0,0,0,14,14,7,5,2,0,0,0,14
327,SIM9,0,0,0,0,0,11,14,11,11,8,0,0,0,0,8,12,11,8,6,6,3,0,0,0,14
328,X27,16,2,0,0,0,16,21,17,15,17,23,15,15,20,28,30,31,26,13,16,14,13,13,16,31
329,X28,5,1,0,0,0,28,27,21,21,16,16,11,10,21,15,25,27,21,17,16,14,12,9,8,28
330,X37,0,0,0,0,0,0,16,20,25,14,0,0,0,0,0,8,24,23,21,20,7,0,0,0,25
331,X38,0,0,0,0,0,0,15,25,19,18,0,0,0,0,0,16,21,25,18,19,0,0,0,0,25
332,X63,0,0,0,0,0,21,25,18,13,12,0,0,0,0,0,11,21,20,15,14,6,0,0,0,25
333,X64,0,0,0,0,0,11,19,13,10,5,0,0,0,0,0,0,20,20,15,12,2,0,0,0,20
334,X68,0,0,0,0,0,0,20,20,17,11,4,0,0,0,0,0,24,23,18,17,10,1,0,0,24
